school_id,name,boards,number_of_boards,state,district,pincode,country,udise_plus_id,udise_code_masked,staffroom_url
sr92206,SCHOLARS PUBLIC HR. SEC. SCHOOL,CBSE,1,MADHYA PRADESH,VIDISHA,464221,India,3910621,******28349,https://www.thestaffroom.in/school/scholars-public-hr-sec-school~sr92206
sr92207,"SIDERAS INTERNATIONAL SCHOOL,",CBSE,1,MADHYA PRADESH,INDORE,453441,India,,,https://www.thestaffroom.in/school/sideras-international-school~sr92207
sr92208,ASASHAS SARAFA VIDYA NIKETAN HR. SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452001,India,3912881,******02207,https://www.thestaffroom.in/school/asashas-sarafa-vidya-niketan-hr-secondary-school~sr92208
sr92209,GRAPHITE HIGHER SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,RAISEN,462046,India,3959336,******15903,https://www.thestaffroom.in/school/graphite-higher-secondary-school~sr92209
sr92210,GURUDEV INTERNATIONAL PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,BALAGHAT,481331,India,4054544,******00115,https://www.thestaffroom.in/school/gurudev-international-public-school~sr92210
sr92211,AARADHYA INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,UJJAIN,456664,India,4037022,******11006,https://www.thestaffroom.in/school/aaradhya-international-school~sr92211
sr92212,MANAS ACADEMY,CBSE,1,MADHYA PRADESH,DHAR,454665,India,4040192,******02504,https://www.thestaffroom.in/school/manas-academy~sr92212
sr92213,"VIDYAKUNJ INTERNATIONAL SCHOOL, KHANDWA",CBSE,1,MADHYA PRADESH,KHANDWA,450001,India,3903932,******06602,https://www.thestaffroom.in/school/vidyakunj-international-school-khandwa~sr92213
sr92214,DAMOH PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,DAMOH,470661,India,3974547,******04907,https://www.thestaffroom.in/school/damoh-public-school~sr92214
sr92215,"PODAR INTERNATIONAL SCHOOL, GWALIOR",CBSE,1,MADHYA PRADESH,GWALIOR,474001,India,3964620,******13311,https://www.thestaffroom.in/school/podar-international-school-gwalior~sr92215
sr92216,ALPINE ACADEMY,CBSE,1,MADHYA PRADESH,INDORE,452012,India,3926749,******05823,https://www.thestaffroom.in/school/alpine-academy~sr92216
sr92217,THE ANGLO INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,BARWANI,451666,India,3972166,******09851,https://www.thestaffroom.in/school/the-anglo-international-school~sr92217
sr92218,THE SHISHUVAN WORLD SCHOOL,CBSE,1,MADHYA PRADESH,MANDSAUR,458001,India,4053422,******02204,https://www.thestaffroom.in/school/the-shishuvan-world-school~sr92218
sr92219,SOHAGI PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,REWA,486226,India,3911449,******11103,https://www.thestaffroom.in/school/sohagi-public-school~sr92219
sr92220,"NAVIN VAISHNAV VIDHYAMANDIR, KHARGONE",CBSE,1,MADHYA PRADESH,KHARGONE,451001,India,,,https://www.thestaffroom.in/school/navin-vaishnav-vidhyamandir-khargone~sr92220
sr92221,KIDS COLLEGE,CBSE,1,MADHYA PRADESH,INDORE,452002,India,3931972,******10105,https://www.thestaffroom.in/school/kids-college~sr92221
sr92222,ST.JOSEPH SCHOOL,CBSE,1,MADHYA PRADESH,VIDISHA,464221,India,,,https://www.thestaffroom.in/school/st-joseph-school~sr92222
sr92223,ANU PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,JHABUA,457777,India,4035256,******00219,https://www.thestaffroom.in/school/anu-public-school~sr92223
sr92224,TOPPERS ACADEMY,CBSE,1,MADHYA PRADESH,UJJAIN,456771,India,3950781,******07409,https://www.thestaffroom.in/school/toppers-academy~sr92224
sr92225,FUTURE INTERNATIONAL PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,RAJGARH,465697,India,4033474,******01505,https://www.thestaffroom.in/school/future-international-public-school~sr92225
sr92226,ST. NORBERT SCHOOL,CBSE,1,MADHYA PRADESH,DAMOH,470661,India,,,https://www.thestaffroom.in/school/st-norbert-school~sr92226
sr92227,CHHATRAPATI SHIVAJI PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452009,India,3998448,******00413,https://www.thestaffroom.in/school/chhatrapati-shivaji-public-school~sr92227
sr92228,MEDI-CAPS INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,453331,India,3914125,******00403,https://www.thestaffroom.in/school/medi-caps-international-school~sr92228
sr92229,QUEEN MARYS HR. SEC. SCHOOL,CBSE,1,MADHYA PRADESH,BHOPAL,462041,India,3961884,******03416,https://www.thestaffroom.in/school/queen-marys-hr-sec-school~sr92229
sr92230,BOSON INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,UJJAIN,456010,India,3995114,******05118,https://www.thestaffroom.in/school/boson-international-school~sr92230
sr92231,CHAMPION INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,DEWAS,455459,India,4018113,******14104,https://www.thestaffroom.in/school/champion-international-school~sr92231
sr92232,HOLLY CROSS CONVENT SCHOOL,CBSE,1,MADHYA PRADESH,MANDSAUR,458664,India,3951030,******02628,https://www.thestaffroom.in/school/holly-cross-convent-school~sr92232
sr92233,"MOUNT LITERA ZEE SCHOOL,GWALIOR",CBSE,1,MADHYA PRADESH,GWALIOR,474005,India,,,https://www.thestaffroom.in/school/mount-litera-zee-school-gwalior~sr92233
sr92234,NIMAR CAMBRIDGE PUBLIC HIGH SCHOOL DHAMNOD,CBSE,1,MADHYA PRADESH,DHAR,454552,India,4028491,******02821,https://www.thestaffroom.in/school/nimar-cambridge-public-high-school-dhamnod~sr92234
sr92235,VASANT INTERNATIONAL PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,BETUL,460661,India,3981287,******08902,https://www.thestaffroom.in/school/vasant-international-public-school~sr92235
sr92236,MM INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,JABALPUR,482001,India,4047553,******03004,https://www.thestaffroom.in/school/mm-international-school~sr92236
sr92237,"NIRMALA CONVENT SCHOOL, RATLAM(M.P.)",CBSE,1,MADHYA PRADESH,RATLAM,457001,India,3934489,******24508,https://www.thestaffroom.in/school/nirmala-convent-school-ratlam-m-p~sr92237
sr92238,SAGAR PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,BHOPAL,462039,India,3997507,******02440,https://www.thestaffroom.in/school/sagar-public-school~sr92238
sr92239,ST.JOSEPHS CONVENT SCHOOL,CBSE,1,MADHYA PRADESH,RATLAM,457001,India,3939077,******01723,https://www.thestaffroom.in/school/st-josephs-convent-school~sr92239
sr92240,CHRIST JYOTI SCHOOL,CBSE,1,MADHYA PRADESH,CHHATARPUR,471515,India,4053001,******25901,https://www.thestaffroom.in/school/christ-jyoti-school~sr92240
sr92241,SHREE GURUKUL SCHOOL,CBSE,1,MADHYA PRADESH,KHARGONE,451228,India,3923380,******03108,https://www.thestaffroom.in/school/shree-gurukul-school~sr92241
sr92242,DELHI PUBLIC WORLD SCHOOL,CBSE,1,MADHYA PRADESH,GWALIOR,472011,India,4057699,******07906,https://www.thestaffroom.in/school/delhi-public-world-school~sr92242
sr92243,GLOBAL CONCEPT SCHOOL,CBSE,1,MADHYA PRADESH,KHARGONE,451220,India,4029286,******12709,https://www.thestaffroom.in/school/global-concept-school~sr92243
sr92244,IRA WORLD SCHOOL,CBSE,1,MADHYA PRADESH,GWALIOR,474020,India,3942993,******13173,https://www.thestaffroom.in/school/ira-world-school~sr92244
sr92245,"PODAR INTERNATIONAL SCHOOL, VIJAY NAGAR, INDORE",CBSE,1,MADHYA PRADESH,INDORE,452001,India,3978303,******03609,https://www.thestaffroom.in/school/podar-international-school-vijay-nagar-indore~sr92245
sr92246,SHRI RADHA VALLABH ACADEMY,CBSE,1,MADHYA PRADESH,GWALIOR,474006,India,4016328,******13109,https://www.thestaffroom.in/school/shri-radha-vallabh-academy~sr92246
sr92247,KRISHNA ACADEMY HIGH SCHOOL,CBSE,1,MADHYA PRADESH,KHANDWA,450661,India,,,https://www.thestaffroom.in/school/krishna-academy-high-school~sr92247
sr92248,ST. FRANCIS CO-ED SCHOOL,CBSE,1,MADHYA PRADESH,BHOPAL,462043,India,3922538,******13703,https://www.thestaffroom.in/school/st-francis-co-ed-school~sr92248
sr92249,MAHASHAY DHARAMPAL (MDH) DAYANAND ARYA VIDYA NIKETAN,CBSE,1,MADHYA PRADESH,JHABUA,457770,India,3935955,******04429,https://www.thestaffroom.in/school/mahashay-dharampal-mdh-dayanand-arya-vidya-niketan~sr92249
sr92250,SHRI BALAJI PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,JABALPUR,482002,India,3936774,******19818,https://www.thestaffroom.in/school/shri-balaji-public-school~sr92250
sr92251,I.T. INTERNATIONAL PUBLIC SCHOOL JHAMTA BICHHUA,CBSE,1,MADHYA PRADESH,CHHINDWARA,480111,India,3998314,******01203,https://www.thestaffroom.in/school/i-t-international-public-school-jhamta-bichhua~sr92251
sr92252,KRISHNA CAREER CONVENT SCHOOL,CBSE,1,MADHYA PRADESH,NARMADAPURAM,461001,India,4038725,******23902,https://www.thestaffroom.in/school/krishna-career-convent-school~sr92252
sr92253,"ST. JOSEPHS SCHOOL, BANDA",CBSE,1,MADHYA PRADESH,SAGAR,470335,India,3977801,******15806,https://www.thestaffroom.in/school/st-josephs-school-banda~sr92253
sr92254,M.D.S. SENIOR SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,MORENA,476221,India,3909528,******01005,https://www.thestaffroom.in/school/m-d-s-senior-secondary-school~sr92254
sr92255,"ST.THOMAS HIGHER SECONDARY SCHOOL,ASHOKNAGAR",CBSE,1,MADHYA PRADESH,ASHOKNAGAR,473331,India,3971347,******07268,https://www.thestaffroom.in/school/st-thomas-higher-secondary-school-ashoknagar~sr92255
sr92256,ST. MARYS HIGHER SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,VIDISHA,464001,India,4042293,******22549,https://www.thestaffroom.in/school/st-marys-higher-secondary-school~sr92256
sr92257,SANSKAR GREEN VALLEY SCHOOL,CBSE,1,MADHYA PRADESH,VIDISHA,464228,India,4056528,******25074,https://www.thestaffroom.in/school/sanskar-green-valley-school~sr92257
sr92258,LITTLE ANGLE PUBLICE SCHOOL PICHHORE,CBSE,1,MADHYA PRADESH,SHIVPURI,473995,India,3952320,******00139,https://www.thestaffroom.in/school/little-angle-publice-school-pichhore~sr92258
sr92259,SVITM INTERNATIONAL SCHOOL,CBSE,1,MADHYA PRADESH,GWALIOR,474005,India,,,https://www.thestaffroom.in/school/svitm-international-school~sr92259
sr92260,SANSKAR SHIKSHA ACADEMY,CBSE,1,MADHYA PRADESH,BHIND,477660,India,3944771,******12432,https://www.thestaffroom.in/school/sanskar-shiksha-academy~sr92260
