ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
049247,Candor International School,"Begur-Koppa Road, Hullahalli, Off Bannerghatta Road,Near Electronic City, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,560105,board,DIPLOMA / PYP,19 February 2013,PRIVATE,Mixed / Day,Coeducational,English,https://www.candorschool.edu.in/,https://www.ibo.org/en/school/049247,2026-08-25
049328,Mussoorie International School,"Srinagar Estate, Near Polo Ground, Mussoorie, Uttarakhand",DEHRADUN,UTTARAKHAND,248179,board,DIPLOMA / MYP / PYP,19 November 2016,PRIVATE,Boarding,Female,English / Hindi,https://misindia.net,https://www.ibo.org/en/school/049328,2026-08-25
049353,Christ Junior College - Residential,"Mysore Road,Kanminike,Kumbalgodu, Kanmanike,Kumbalgodu, Kumbalgodu, Bangalore, Karnataka,Karnataka",BENGALURU URBAN,KARNATAKA,560074,board,DIPLOMA,12 March 2014,PRIVATE,Boarding,Coeducational,English,https://www.cjcib.in,https://www.ibo.org/en/school/049353,2026-08-25
049369,The Aga Khan Academy Hyderabad,"Survey No: 1/1, Hardware Park, Maheshwaram Mandal, Rangareddy District, Hyderabad, Telangana",RANGA REDDY,TELANGANA,501510,board,DIPLOMA / MYP / PYP,06 September 2012,PRIVATE,Mixed,Coeducational,English / Hindi,https://www.agakhanacademies.org/hyderabad,https://www.ibo.org/en/school/049369,2026-08-25
049374,Excelsior American School,"Golf Course Road, behind Dell building, Sushant Lok, Phase I Block C2, DLF Phase 1 Sector 43, Gurgaon, Haryana",GURUGRAM,HARYANA,122001,board,DIPLOMA,20 July 2018,PRIVATE,Mixed,Coeducational,English,https://www.excelsioreducation.org,https://www.ibo.org/en/school/049374,2026-08-25
049428,Akshar Árbol International School,"11, Somasundaram Street, T.Nagar, Chennai, Tamil Nadu",CHENNAI,TAMIL NADU,600017,board,PYP,22 September 2014,PRIVATE,Day,Coeducational,English,https://www.akshararbol.edu.in/,https://www.ibo.org/en/school/049428,2026-08-25
049547,Manchester International School - Coimbatore,"Manchester International School, Coimbatore, SF 29/3A, Hudco Colony, Vellakinar, Coimbatore, Tamil Nadu",COIMBATORE,TAMIL NADU,641029,board,DIPLOMA / MYP / PYP,30 March 2015,PRIVATE,Mixed,Coeducational,English / Hindi,https://www.manchesters.in/,https://www.ibo.org/en/school/049547,2026-08-25
049708,The Indian Public School - Erode International,"Senapathypalayam, Goundachipalayam (Post), Erode, Tamil Nadu",ERODE,TAMIL NADU,638112,board,PYP,31 March 2015,PRIVATE,Mixed,Coeducational,English,https://tipserodeinternational.org/,https://www.ibo.org/en/school/049708,2026-08-25
049729,Edubridge International School,"Chankya Gyan Kendra, Edubridge International School, Vadilal Patel Road, Shapur Baug, Grand Road East, Mumbai, Maharashtra,Maharashtra",MUMBAI,MAHARASHTRA,400007,board,DIPLOMA / MYP / PYP,25 February 2014,PRIVATE,Boarding / Day,Coeducational,English,https://www.edubridgeschool.org/,https://www.ibo.org/en/school/049729,2026-08-25
049833,JG International School,"JG Campus of Excellence, Opp. Gulab Tower, Off Sola Road, Ahmedabad, Gujarat",AHMADABAD,GUJARAT,380061,board,DIPLOMA,23 April 2014,PRIVATE,Mixed,Coeducational,English,https://www.jginternationalschool.in,https://www.ibo.org/en/school/049833,2026-08-25
049873,Firststeps School,"Opp. Blind Girls Hostel, Sector 26, Chandigarh",CHANDIGARH,CHANDIGARH,160019,board,PYP,05 October 2016,PRIVATE,Day,Coeducational,English,https://firststepsschool.org,https://www.ibo.org/en/school/049873,2026-08-25
050022,The Pupil,"162/1, Masilamani Nagar, Senneerkuppam, Chennai",THIRUVALLUR,TAMIL NADU,600056,board,DIPLOMA / MYP / PYP,07 November 2021,PRIVATE,Day,Coeducational,English,https://tpischool.in/,https://www.ibo.org/en/school/050022,2026-08-25
050068,The Indian Public School - Kochi,"Fr. Abel Nagar, Edachira, Kakkanad, Ernakulam, Kochi, Kerala",ERNAKULAM,KERALA,682030,board,PYP,17 April 2014,PRIVATE,Day,Coeducational,English / Hindi,https://www.tipskochi.com,https://www.ibo.org/en/school/050068,2026-08-25
050199,Mount Litera School International,"Plot No. SF 6. CTS No. 4207(PT), GN Block, Behind Asian Heart Hospital,Near UTI Building, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400051,board,DIPLOMA / MYP / PYP,04 November 2016,PRIVATE,Day,Coeducational,English,https://mlsi.in,https://www.ibo.org/en/school/050199,2026-08-25
050293,Hiranandani Upscale School (HUS),"HUS (Run by Hiranandani Upscale Foundation), 5/63, Old Mahabalipuram Road, Opp. Sipcot IT Park, Eggatur Village, Chennai, Tamil Nadu,Tamil Nadu",CHENGALPATTU,TAMIL NADU,600130,board,DIPLOMA / MYP / PYP,25 March 2015,PRIVATE,Day,Coeducational,English,https://hus.edu.in,https://www.ibo.org/en/school/050293,2026-08-25
