affiliation_no,school_code,name,address,district,state,country,pincode,pincode_source,level,affiliated_from,affiliated_to,school_type,medium,gender,year_founded,managing_trust,website,source_url,captured_on
130516,57239,SASI E.M. HIGH SCHOOL,"8-59,SASI EM HIGH SCHOOL, VELIVENNU,UNDRAJAVARAM MANDAL,W.G.DT.534329",WEST GODAVARI,ANDHRA PRADESH,India,534329,board,Senior Secondary Level,2026-04-01,2031-03-31T00:00:00.000Z,INDEPENDENT,,,2003,SASI FOUNDATION,http://www.sasicbse.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130516,2026-08-25
130517,57219,NIRMALA HIGH SCHOOL,"NIRMAL NAGAR,ATMAKUR(VILL),MANGALAGIRI(MANDAL)",GUNTUR,ANDHRA PRADESH,India,522503,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2015,"THE CATECHIST SISTERS OF ST ANN,HYDERABAD",http://www.nirmalacbsemgl.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130517,2026-08-25
130518,57235,RANGUMUDRI GRAMMAR SCHOOL,"SAI LAKSHMI NAGAR, JANARDHANAPURAM VILLAGE, CHILAKALAPALLI POST, BALIJIPETA SO, VIZIANAGARAM DISTRICT, ANDHRA PRADESH, PIN - 535 557.",VIZIANAGARAM,ANDHRA PRADESH,India,535557,board,Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,2018,RDM ACADEMY,http://www.rangumudricbse.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130518,2026-08-25
130519,57205,DR VARALAKSHMI PUBLIC SCHOOL,"BHAVANI NAGAR, TENNU BODDAVARA, S.KOTA MANDAL, VIZIANAGARAM DIST",VIZIANAGARAM,ANDHRA PRADESH,India,535145,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2017,KOLAPARTHI EDUCATIONAL SOCIETY,https://drvaralakshmipublicschool.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130519,2026-08-25
130520,57220,SRISHTI WORLD SCHOOL,"SECTOR XI, UKKUNAGARAM, VISAKHAPATNAM",VISAKHAPATNAM,ANDHRA PRADESH,India,530032,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2017,ANNAPURNA CHARITABLE SOCIETY,http://srishtiworldschool.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130520,2026-08-25
130521,57221,SFS SCHOOL CBSE,SFS SCHOOL CBSE D.NO:50-1-25 SEETHAMMADHARA VISAKHAPATNAM-13,VISAKHAPATNAM,ANDHRA PRADESH,India,530013,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2017,THE SALESIAN ANDHRA SOCIETY,https://sfscbseseethammadhara.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130521,2026-08-25
130522,57234,SRI SUDHA ENGLISH MEDIUM HIGH SCHOOL,"SR. NO. 356/2A, DHONE MANDAL & MUNICIPALITY, DIST KURNOOL, AP",KURNOOL,ANDHRA PRADESH,India,518222,board,Senior Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2020,Sri Sudha Educational Society,http://www.srisudhainstitutions.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130522,2026-08-25
130523,56362,BS & JR HIGH SCHOOL,"OLD NH5, TEKKALI MANDAL, SRIKAKULAM DISTRICT, AP-532201",SRIKAKULAM,ANDHRA PRADESH,India,532201,board,Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,1997,Sri Salivahana Rural Educational Society,http://www.bsjrhighschool.org,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130523,2026-08-25
130524,57232,SRI RAJU HIGH SCHOOL,"D NO 38/113-46-1,SUDDALAVANDLA PALLI ROAD,RAYACHOTY,KADAPA",Y.S.R.,ANDHRA PRADESH,India,516269,board,Senior Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2018,Raju Educational Society,http://www.srirajuedu.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130524,2026-08-25
130525,57233,RAVINDRA BHARATHIS SCOTSPINE SCHOOL,"168/2 & 168/3, KANURU VILLAGE, PENAMALURU MANDAL, DIST. KRISHNA",KRISHNA,ANDHRA PRADESH,India,520007,board,Senior Secondary Level,2026-04-01,2031-03-31T00:00:00.000Z,INDEPENDENT,,,2018,Ravindra Bharathi Educational Academy,http://scotspine.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130525,2026-08-25
