centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA107,Campus K School,"TNHB Main Road, Sholinganallur, Chennai - 600119",CHENNAI,TAMIL NADU,600119,board,Primary / Lower Secondary / Upper Secondary,Day school,2020-06-05,http://www.campusk.in/,https://connectedtot.com/find-a-cambridge-school/Details/campus-k-school/,2026-08-25
IA109,Edify School Electronic City,"#388/0, 6TH MAIN CROSS, 17TH CROSS, SECTOR-C, SURYANAGAR PHASE2, ANEKAL-CHANDAPURA MAIN ROAD, BENGALURU 562106",BENGALURU URBAN,KARNATAKA,562106,board,Primary / Lower Secondary / Upper Secondary,Day school,2020-03-31,http://www.ekamecity.com/,https://connectedtot.com/find-a-cambridge-school/Details/edify-school-electronic-city/,2026-08-25
IA111,BGS International Academia School,"Nithyanandanagar,K. Gollahalli (Po),Kumbalagodu,Bangalore South,560074,Karnataka",BENGALURU URBAN,KARNATAKA,560074,board,Lower Secondary / Upper Secondary / Advanced,,2020-04-22,https://bgsias.school/,https://connectedtot.com/find-a-cambridge-school/Details/bgs-international-academia-school/,2026-08-25
IA119,Pramiti School A Unit Of Crossover Education Trust,"Sy No 141, 141/5, 141/6 & 141/7, B.M. Kaval, Vadeyarahalli, Kanakapura Road, Bangalore, Karnataka, 560082",BENGALURU URBAN,KARNATAKA,560082,board,Upper Secondary / Advanced,Day school,2020-05-05,https://www.pramitischool.org/,https://connectedtot.com/find-a-cambridge-school/Details/pramiti-school-a-unit-of-crossover-education-trust/,2026-08-25
IA121,Blue Blocks Complete School,"Osman Nagar Rd, Osman Nagar, Hyderabad, Telangana 502032",SANGAREDDY,TELANGANA,502032,board,Primary / Lower Secondary / Upper Secondary,Day school,2020-06-17,http://www.blueblocks.in/,https://connectedtot.com/find-a-cambridge-school/Details/blue-blocks-complete-school/,2026-08-25
IA122,Birla Open Minds International School Walkeshwar,"68 Krishanaraj Society,Walkeshwar Road,Malabar Hill, Walkeshwar,Mumbai 400021,India",MUMBAI,MAHARASHTRA,400021,board,Primary / Lower Secondary,,2020-03-06,,https://connectedtot.com/find-a-cambridge-school/Details/birla-open-minds-international-school-walkeshwar/,2026-08-25
IA123,"Wynberg-Allen School, Mussoorie","Bala Hissar,Mussoorie, Uttarakhand,248179,India",DEHRADUN,UTTARAKHAND,248179,board,Primary / Lower Secondary,,2020-02-19,,https://connectedtot.com/find-a-cambridge-school/Details/wynberg-allen-school-mussoorie/,2026-08-25
IA128,Oes International School,"Behind Lotus Petrol Pump,Near Infinity Mall,Adarsh Nagar,Andheri (West),Maharashtra,400102",MUMBAI SUBURBAN,MAHARASHTRA,400102,board,Primary / Lower Secondary / Upper Secondary,,2020-02-07,,https://connectedtot.com/find-a-cambridge-school/Details/oes-international-school/,2026-08-25
IA129,"The Indian Public School, Trichy","Ramji Nagar, Kallikudi Post, Dindigul Main Road, Trichy 620009",TIRUCHIRAPPALLI,TAMIL NADU,620009,board,Lower Secondary / Upper Secondary,Day school,2020-11-05,http://theindianpublicschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/the-indian-public-school-trichy/,2026-08-25
IA131,"Shiv Nadar School, Noida","Plot No. SS -1, Noida-Greater Noida Expy, Chhaprauli Bangar, Sector 168, Noida, Uttar Pradesh 201305",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201305,board,Upper Secondary,Day school,2020-02-27,https://shivnadarschool.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/shiv-nadar-school-noida/,2026-08-25
IA132,Shiv Nadar School Faridabad,"Sector 82, Neharpar Faridabad, Faridabad, Haryana 121002 India",FARIDABAD,HARYANA,121002,board,Upper Secondary,Day school,2020-02-26,https://shivnadarschool.edu.in/,https://connectedtot.com/find-a-cambridge-school/Details/shiv-nadar-school-faridabad/,2026-08-25
IA133,Shiv Nadar School Gurgaon,"Pahari Road,Block E,Dlf Phase 1 Sector 26,Gurgaon,Haryana,India",GURUGRAM,HARYANA,,,Lower Secondary / Upper Secondary,,2020-02-27,,https://connectedtot.com/find-a-cambridge-school/Details/shiv-nadar-school-gurgaon/,2026-08-25
IA135,Stepping Stones International,Gut no. 48/8 Harsool- Sawangi Jalgaon Road Chatrapati Shivaji Maharaj,AURANGABAD,MAHARASHTRA,,,Primary / Lower Secondary / Upper Secondary,Fully residential,2021-01-25,https://ssi.steppingstoneshighschool.org/,https://connectedtot.com/find-a-cambridge-school/Details/stepping-stones-international/,2026-08-25
IA145,Jayshree Periwal Global School,"SECTOR 36, NRI ROAD JAGATPURA 303012",JAIPUR,RAJASTHAN,303012,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2020-07-22,http://www.jpgschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/jayshree-periwal-global-school/,2026-08-25
IA148,The International School of Thrissur,"Chirakkakode, Near Mannuthy, Thrissur - 680654",THRISSUR,KERALA,680654,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Fully residential,2021-02-08,http://www.tist.school/,https://connectedtot.com/find-a-cambridge-school/Details/the-international-school-of-thrissur/,2026-08-25
IA150,"CS Academy, Erode","CS Academy International ,Vallipurathanpalayam, Erode - 638 112, Tamil Nadu, India.",ERODE,TAMIL NADU,638112,board,Primary / Lower Secondary / Upper Secondary,Day school,2021-02-19,https://csacademy.in/erode/international-campus/,https://connectedtot.com/find-a-cambridge-school/Details/cs-academy-erode/,2026-08-25
