cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
TN107,NISE - NAGARATHINAM INTERNATIONAL SCHOOL OF EXCELLENCE,"COIMBATORE, Coimbatore, Tamil Nadu, 641004, India",COIMBATORE,Coimbatore,Tamil Nadu,641004,board,ICSE / ISC,Day,Co-ed.,true,11.0312245,77.0071456,https://www.nise.in,https://locate.cisce.org/,2026-08-25
TN108,Lisieux C M I International School,"Coimbatore, Coimbatore, Tamil Nadu, 641011, India",Coimbatore,Coimbatore,Tamil Nadu,641011,board,ICSE / ISC,Day,Co-ed.,true,11.0216509,76.9432727,https://lisieuxicsecmi.com,https://locate.cisce.org/,2026-08-25
TN110,DAINTREE PUBLIC SCHOOL,"TIRUPUR, Tiruppur, Tamil Nadu, 641607, India",TIRUPUR,Tiruppur,Tamil Nadu,641607,board,ICSE / ISC,Day,Co-ed.,true,11.1192356,77.3426721,,https://locate.cisce.org/,2026-08-25
TN111,NIRMALA MATHA CONVENT SCHOOL,"COIMBATORE, Coimbatore, Tamil Nadu, 641 111, India",COIMBATORE,Coimbatore,Tamil Nadu,641111,board,ICSE / ISC,Day,Co-ed.,true,10.954663,76.991915,https://www.nirmalamathaicsevellalore.org,https://locate.cisce.org/,2026-08-25
TN112,Rak's Pallikkoodam,"COIMBATORE, Coimbatore, Tamil Nadu, 641014, India",COIMBATORE,Coimbatore,Tamil Nadu,641014,board,ICSE,Day/Boarding,Co-ed.,true,11.030128,77.026301,https://www.rakspallikkoodam.com,https://locate.cisce.org/,2026-08-25
TN113,Vividh International Residential School,"Coimbatore, Coimbatore, Tamil Nadu, 641113, India",Coimbatore,Coimbatore,Tamil Nadu,641113,board,ICSE / ISC,Day,Co-ed.,true,11.2368238,76.916166,https://www.vividhschools.com,https://locate.cisce.org/,2026-08-25
TN114,Carmel's English School,"Trichy, Tiruchirappalli, Tamil Nadu, 620003, India",Trichy,Tiruchirappalli,Tamil Nadu,620003,board,ICSE / ISC,Day,Co-ed.,true,10.8201581,78.6679554,http://carmeltrust.org/,https://locate.cisce.org/,2026-08-25
TN115,Karthi Vidhyalaya International School,"KORANATTU KARUPPUR, Thanjavur, Tamil Nadu, 612501, India",KORANATTU KARUPPUR,Thanjavur,Tamil Nadu,612501,board,ICSE / ISC,Day,Co-ed.,true,11.0010127,79.4000493,https://www.karthividhyalayainternationalschool.com,https://locate.cisce.org/,2026-08-25
TN116,Shaswi International School Of Excellence,"Sulur, Coimbatore, Tamil Nadu, 641658, India",Sulur,Coimbatore,Tamil Nadu,641658,board,ICSE,Residential,Boys,true,11.02961,77.1224732,https://www.shaswischool.com,https://locate.cisce.org/,2026-08-25
TN117,Sathiyakaathi Global School,"Kotagiri, Nilgiris, Tamil Nadu, 643217, India",Kotagiri,Nilgiris,Tamil Nadu,643217,board,ICSE / ISC,Day/Boarding,Co-ed.,true,11.4217666,76.8617275,https://www.sathiyakaathi.org,https://locate.cisce.org/,2026-08-25
TN118,Bethlahem Hillside International School,"KANYAKUMARI, Kanyakumari, Tamil Nadu, 629157, India",KANYAKUMARI,Kanyakumari,Tamil Nadu,629157,board,ICSE / ISC,Day,Co-ed.,true,8.2298686,77.2443841,http://bethlahemhillside.org/,https://locate.cisce.org/,2026-08-25
TN119,Triveni School,"MADURAI, Madurai, Tamil Nadu, 625016, India",MADURAI,Madurai,Tamil Nadu,625016,board,ICSE / ISC,Day,Co-ed.,true,9.92978,78.110115,,https://locate.cisce.org/,2026-08-25
TN120,Shaanthi School,"Pollachi, Coimbatore, Tamil Nadu, 642001, India",Pollachi,Coimbatore,Tamil Nadu,642001,board,ICSE / ISC,Day,Co-ed.,true,10.6377087,77.0190228,https://www.shaanthi.com,https://locate.cisce.org/,2026-08-25
TN121,C S I Bain School,"Chennai, Chennai, Tamil Nadu, 600010, India",Chennai,Chennai,Tamil Nadu,600010,board,ICSE,Day,Co-ed.,true,13.0813607,80.2492642,https://www.csibainschool.org,https://locate.cisce.org/,2026-08-25
